Factory,Job Role,Equality Score,Equality class
Daikibo Factory Meiyo,C-Level,-25,00,Highly Discriminative
Daikibo Factory Meiyo,VP,-26,00,Highly Discriminative
Daikibo Factory Meiyo,Director,-19,00,Unfair
Daikibo Factory Meiyo,Sr. Manager,-15,00,Unfair
Daikibo Factory Meiyo,Manager,-14,00,Unfair
Daikibo Factory Meiyo,Jr. Manager,-20,00,Unfair
Daikibo Factory Meiyo,Sr. Engineer,-5,00,Fair
Daikibo Factory Meiyo,Engineer,-8,00,Fair
Daikibo Factory Meiyo,Jr. Engineer,3,00,Fair
Daikibo Factory Meiyo,Operational Support,-22,00,Highly Discriminative
Daikibo Factory Meiyo,Machine Operator,-7,00,Fair
Daikibo Factory Seiko,VP,-19,00,Unfair
Daikibo Factory Seiko,Director,-10,00,Unfair
Daikibo Factory Seiko,Sr. Manager,-21,00,Highly Discriminative
Daikibo Factory Seiko,Manager,-21,00,Highly Discriminative
Daikibo Factory Seiko,Jr. Manager,-24,00,Highly Discriminative
Daikibo Factory Seiko,Sr. Engineer,-4,00,Fair
Daikibo Factory Seiko,Engineer,-7,00,Fair
Daikibo Factory Seiko,Jr. Engineer,4,00,Fair
Daikibo Factory Seiko,Operational Support,-19,00,Unfair
Daikibo Factory Seiko,Machine Operator,-5,00,Fair
Daikibo Berlin,Sr. Manager,-15,00,Unfair
Daikibo Berlin,Manager,-16,00,Unfair
Daikibo Berlin,Jr. Manager,-17,00,Unfair
Daikibo Berlin,Sr. Engineer,4,00,Fair
Daikibo Berlin,Engineer,2,00,Fair
Daikibo Berlin,Jr. Engineer,4,00,Fair
Daikibo Berlin,Operational Support,0,00,Fair
Daikibo Berlin,Machine Operator,-6,00,Fair
Daikibo Shenzhen,Sr. Manager,-21,00,Highly Discriminative
Daikibo Shenzhen,Manager,-19,00,Unfair
Daikibo Shenzhen,Jr. Manager,-20,00,Unfair
Daikibo Shenzhen,Sr. Engineer,-5,00,Fair
Daikibo Shenzhen,Engineer,-4,00,Fair
Daikibo Shenzhen,Jr. Engineer,3,00,Fair
Daikibo Shenzhen,Operational Support,-7,00,Fair
Daikibo Shenzhen,Machine Operator,-7,00,Fair
